"order_id","customer_id","order_date","order_amount","delivery_city","payment_mode","order_item_id","order_id-2","product_id","quantity","total_price"
128,28,"2023-07-14",2800,"Aurangabad","Net Banking",29,128,14,1,55000
128,28,"2023-07-14",2800,"Aurangabad","Net Banking",29,128,14,1,55000
115,15,"2023-04-18",2300,"Nagpur","Credit Card",16,115,14,1,55000
115,15,"2023-04-18",2300,"Nagpur","Credit Card",16,115,14,1,55000
101,1,"2023-01-10",1500,"Mumbai","Credit Card",1,101,1,1,45000
101,1,"2023-01-10",1500,"Mumbai","Credit Card",1,101,1,1,45000
122,22,"2023-04-24",3400,"Varanasi","Credit Card",23,122,8,1,40000
107,7,"2022-10-15",2700,"Hyderabad","Debit Card",8,107,8,1,40000
122,22,"2023-04-24",3400,"Varanasi","Credit Card",23,122,8,1,40000
107,7,"2022-10-15",2700,"Hyderabad","Debit Card",8,107,8,1,40000
116,16,"2021-06-23",1600,"Surat","Net Banking",17,116,15,1,35000
108,8,"2023-06-22",2200,"Chennai","UPI",9,108,6,1,35000
123,23,"2021-10-13",2900,"Mysuru","UPI",24,123,6,1,35000
116,16,"2021-06-23",1600,"Surat","Net Banking",17,116,15,1,35000
108,8,"2023-06-22",2200,"Chennai","UPI",9,108,6,1,35000
123,23,"2021-10-13",2900,"Mysuru","UPI",24,123,6,1,35000
113,13,"2023-03-12",2600,"Thane","Debit Card",14,113,3,1,30000
102,2,"2023-02-14",2500,"Delhi","Debit Card",3,102,3,1,30000
102,2,"2023-02-14",2500,"Delhi","Debit Card",3,102,3,1,30000
113,13,"2023-03-12",2600,"Thane","Debit Card",14,113,3,1,30000
127,27,"2022-03-18",1800,"Ghaziabad","Cash",28,127,4,1,25000
127,27,"2022-03-18",1800,"Ghaziabad","Cash",28,127,4,1,25000
104,4,"2023-03-30",1800,"Kolkata","UPI",5,104,4,1,25000
104,4,"2023-03-30",1800,"Kolkata","UPI",5,104,4,1,25000
114,14,"2022-07-05",1800,"Gurgaon","UPI",15,114,13,2,24000
114,14,"2022-07-05",1800,"Gurgaon","UPI",15,114,13,2,24000
124,24,"2022-09-29",2400,"Jodhpur","Net Banking",25,124,5,2,20000
124,24,"2022-09-29",2400,"Jodhpur","Net Banking",25,124,5,2,20000
103,3,"2022-12-21",1200,"Bengaluru","Cash",4,103,2,1,15000
103,3,"2022-12-21",1200,"Bengaluru","Cash",4,103,2,1,15000
111,11,"2022-09-21",3000,"Bhopal","Credit Card",12,111,2,1,15000
111,11,"2022-09-21",3000,"Bhopal","Credit Card",12,111,2,1,15000
129,29,"2022-12-23",3500,"Nashik","Credit Card",30,129,17,2,14000
129,29,"2022-12-23",3500,"Nashik","Credit Card",30,129,17,2,14000
110,10,"2023-05-19",1900,"Lucknow","Cash",11,110,12,2,10000
106,6,"2023-04-12",3500,"Pune","Credit Card",7,106,5,1,10000
110,10,"2023-05-19",1900,"Lucknow","Cash",11,110,12,2,10000
106,6,"2023-04-12",3500,"Pune","Credit Card",7,106,5,1,10000
105,1,"2022-11-20",2000,"Mumbai","Net Banking",6,105,7,3,9000
105,1,"2022-11-20",2000,"Mumbai","Net Banking",6,105,7,3,9000
109,9,"2022-08-08",1400,"Ahmedabad","Credit Card",10,109,9,1,8000
109,9,"2022-08-08",1400,"Ahmedabad","Credit Card",10,109,9,1,8000
125,25,"2023-06-20",2200,"Ranchi","Credit Card",26,125,9,1,8000
125,25,"2023-06-20",2200,"Ranchi","Credit Card",26,125,9,1,8000
119,19,"2022-08-25",1200,"Indore","UPI",20,119,19,2,7000
118,18,"2022-12-17",2100,"Coimbatore","Debit Card",19,118,17,1,7000
118,18,"2022-12-17",2100,"Coimbatore","Debit Card",19,118,17,1,7000
119,19,"2022-08-25",1200,"Indore","UPI",20,119,19,2,7000
117,17,"2023-02-01",2900,"Kanpur","Cash",18,117,16,3,6000
101,1,"2023-01-10",1500,"Mumbai","Credit Card",2,101,11,2,6000
117,17,"2023-02-01",2900,"Kanpur","Cash",18,117,16,3,6000
101,1,"2023-01-10",1500,"Mumbai","Credit Card",2,101,11,2,6000
126,26,"2021-05-09",1700,"Raipur","UPI",27,126,12,1,5000
126,26,"2021-05-09",1700,"Raipur","UPI",27,126,12,1,5000
112,12,"2023-02-28",2400,"Patna","Net Banking",13,112,10,1,5000
112,12,"2023-02-28",2400,"Patna","Net Banking",13,112,10,1,5000
121,21,"2022-11-02",3100,"Noida","Debit Card",22,121,20,10,2500
121,21,"2022-11-02",3100,"Noida","Debit Card",22,121,20,10,2500
120,20,"2023-01-09",4000,"Vadodara","Credit Card",21,120,18,1,1500
120,20,"2023-01-09",4000,"Vadodara","Credit Card",21,120,18,1,1500
